t,impulso,maniobra,v,rumbo,fx,fy,normF,dx,dy
1750083219.767,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083220.27,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083220.769,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083221.278,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083221.777,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083222.29,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083222.784,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083223.295,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083223.794,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083224.308,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083224.825,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083225.336,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083225.833,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083226.326,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083226.834,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
1750083227.328,False,avance_libre,2.57,317.1,0.0,0.0,0.0,0.7325428987873789,-0.6807208689589177
1750083227.838,False,avance_libre,2.57,317.0,0.0,0.0,0.0,0.7313537016191707,-0.6819983600624983
